NO,COMPONENT,LAB,ANALYSIS DATE,SEASON,YEAR,FARM.CODE,TRIAL TYPE,PLOT NO,PLOTCODE,TREATMENT,NEW TREATMENT,N,S,CA,MG,MN,B,CU,MO,FE,ZN,P,K
153,STOVER,YARA,Oct (2017),LR2016,2016,F17,NOT,P3,F173,NK,,1.5,0.06,0.23,0.24,391.8,4,2.9,0.4,2809,68,0.06,0.92
154,STOVER,YARA,Oct (2017),LR2016,2016,F17,NOT,P4,F174,NP,,0.6,0.04,0.43,0.27,243.3,3.2,2.4,0.24,813,32.9,0.03,0.61
155,STOVER,YARA,Oct (2017),LR2016,2016,F17,NOT,P5,F175,NPK,,0.66,0.03,0.41,0.26,234.8,3.1,2.3,0.28,723,30,0.03,0.57
156,STOVER,YARA,Oct (2017),LR2016,2016,F18,NOT,P1,F181,Control,,0.65,0.05,0.55,0.42,216.2,7,5.8,0.59,3442,57.1,0.03,0.61
157,STOVER,YARA,Oct (2017),LR2016,2016,F18,NOT,P2,F182,PK,,0.33,0.03,0.26,0.21,106.8,3.9,2.4,0.53,1635,21.5,0.03,0.72
158,STOVER,YARA,Oct (2017),LR2016,2016,F18,NOT,P3,F183,NK,,1.24,0.04,0.4,0.44,296.8,7.1,7.9,0.35,5201,59.4,0.05,0.65
159,STOVER,YARA,Oct (2017),LR2016,2016,F18,NOT,P4,F184,NP,,1.45,0.03,0.36,0.38,137.7,4.2,3.2,0.34,2144,24,0.04,0.46
160,STOVER,YARA,Oct (2017),LR2016,2016,F18,NOT,P5,F185,NPK,,0.92,0.02,0.42,0.42,101.8,4.2,2.5,0.22,946,16.8,0.03,0.49
161,STOVER,YARA,Oct (2017),LR2016,2016,F19,NOT,P1,F191,Control,,0.27,0.08,0.17,0.13,81.8,2.5,2,0.25,697,26.9,0.02,1.11
162,STOVER,YARA,Oct (2017),LR2016,2016,F19,NOT,P2,F192,PK,,0.27,0.05,0.14,0.16,57.4,1.6,1.9,0.17,647,16,0.07,1.13
163,STOVER,YARA,Oct (2017),LR2016,2016,F19,NOT,P3,F193,NK,,0.76,0.05,0.27,0.21,122.1,3.4,4.6,0.25,1403,16.1,0.03,2.4
164,STOVER,YARA,Oct (2017),LR2016,2016,F19,NOT,P4,F194,NP,,0.51,0.05,0.32,0.31,161.3,2.8,4.5,0.24,517,17.8,0.04,0.94
165,STOVER,YARA,Oct (2017),LR2016,2016,F19,NOT,P5,F195,NPK,,0.88,0.05,0.27,0.17,195.9,2.6,4.6,0.26,883,15.7,0.06,1.87
166,STOVER,YARA,Oct (2017),LR2016,2016,F1,NOT,P1,F11,Control,,1.14,0.11,0.36,0.44,336.9,5.9,7.8,0.3,4192,146.3,0.06,0.9
167,STOVER,YARA,Oct (2017),LR2016,2016,F1,NOT,P2,F12,PK,,0.37,0.04,0.37,0.21,100.4,3.7,2.2,0.29,1099,19,0.03,1.69
168,STOVER,YARA,Oct (2017),LR2016,2016,F1,NOT,P3,F13,NK,,0.81,0.03,0.55,0.2,151.1,4.8,4.2,0.71,2971,21.1,0.06,2.53
169,STOVER,YARA,Oct (2017),LR2016,2016,F1,NOT,P4,F14,NP,,0.74,0.05,0.54,0.2,167.7,6,5,0.23,2855,25.8,0.05,2.5
170,STOVER,YARA,Oct (2017),LR2016,2016,F1,NOT,P5,F15,NPK,,0.88,0.03,0.41,0.18,106.3,3.8,3.3,0.31,1484,15.8,0.09,1.81
171,STOVER,YARA,Oct (2017),LR2016,2016,F20,NOT,P1,F201,Control,,0.83,0.08,0.36,0.16,445.4,4,8.9,0.71,3597,47.4,0.05,0.28
172,STOVER,YARA,Oct (2017),LR2016,2016,F20,NOT,P2,F202,PK,,0.22,0.02,0.31,0.16,102.8,2.1,1.9,0.25,637,9.5,0.02,0.34
173,STOVER,YARA,Oct (2017),LR2016,2016,F20,NOT,P3,F203,NK,,1.02,0.05,0.52,0.38,495.7,4.1,3.6,0.33,853,45.5,0.04,0.43
174,STOVER,YARA,Oct (2017),LR2016,2016,F20,NOT,P4,F204,NP,,1.65,0.06,0.48,0.29,980.4,4.6,8.4,0.72,3202,53.9,0.18,0.28
175,STOVER,YARA,Oct (2017),LR2016,2016,F20,NOT,P5,F205,NPK,,0.77,0.05,0.59,0.36,459.7,4.6,4.1,0.48,2270,26.8,0.06,0.62
176,STOVER,YARA,Oct (2017),LR2016,2016,F21,NOT,P1,F211,Control,,0.77,0.07,0.34,0.34,313.1,6,5.5,0.59,4151,45.1,0.05,0.62
177,STOVER,YARA,Oct (2017),LR2016,2016,F21,NOT,P2,F212,PK,,0.31,0.04,0.4,0.27,151.2,4.6,2.2,0.36,1423,22.7,0.02,0.66
178,STOVER,YARA,Oct (2017),LR2016,2016,F21,NOT,P3,F213,NK,,1.72,0.09,0.28,0.28,573.4,6,4.3,0.36,4568,78,0.08,1.4
179,STOVER,YARA,Oct (2017),LR2016,2016,F21,NOT,P4,F214,NP,,1.11,0.06,0.84,0.49,373.2,6.8,5.5,0.3,1909,29.2,0.08,0.47
180,STOVER,YARA,Oct (2017),LR2016,2016,F21,NOT,P5,F215,NPK,,0.41,0.03,0.42,0.29,190.9,4.1,2.8,0.39,2590,11.5,0.02,0.47
181,STOVER,YARA,Oct (2017),LR2016,2016,F23,NOT,P1,F231,Control,,0.53,0.04,0.41,0.37,137.9,3.8,4,0.19,1775,37.7,0.03,0.63
182,STOVER,YARA,Oct (2017),LR2016,2016,F23,NOT,P2,F232,PK,,,,,,,,,,,,,
183,STOVER,YARA,Oct (2017),LR2016,2016,F23,NOT,P3,F233,NK,,1.43,0.06,0.51,0.42,294.6,4.9,6.9,0.12,1146,76.1,0.06,1.33
184,STOVER,YARA,Oct (2017),LR2016,2016,F23,NOT,P4,F234,NP,,0.83,0.04,0.53,0.38,305.1,3.5,5.6,0.1,966,19.2,0.03,0.38
185,STOVER,YARA,Oct (2017),LR2016,2016,F23,NOT,P5,F235,NPK,,0.84,0.03,0.32,0.29,102.1,2.6,4.9,0.12,665,11.5,0.05,0.98
186,STOVER,YARA,Oct (2017),LR2016,2016,F24,NOT,P1,F241,Control,,1.01,0.12,0.46,0.34,378.2,4,7.8,0.43,2189,58.3,0.06,0.32
187,STOVER,YARA,Oct (2017),LR2016,2016,F24,NOT,P2,F242,PK,,0.27,0.02,0.24,0.18,120.2,2.3,2.8,0.37,972,19,0.02,0.99
188,STOVER,YARA,Oct (2017),LR2016,2016,F24,NOT,P3,F243,NK,,,,,,,,,,,,,
189,STOVER,YARA,Oct (2017),LR2016,2016,F24,NOT,P4,F244,NP,,1.09,0.03,0.56,0.26,713.3,4.1,7.7,0.88,2575,45.1,0.11,0.27
190,STOVER,YARA,Oct (2017),LR2016,2016,F24,NOT,P5,F245,NPK,,0.78,0.02,0.28,0.14,667.5,2.5,3.2,0.23,321,17.3,0.03,1.16
191,STOVER,YARA,Oct (2017),LR2016,2016,F2,NOT,P1,F21,Control,,0.61,0.11,0.29,0.24,121.8,5.5,2.8,0.45,1557,48,0.2,1.22
192,STOVER,YARA,Oct (2017),LR2016,2016,F2,NOT,P2,F22,PK,,0.25,0.05,0.26,0.2,140.2,4,2.2,0.57,1899,27.1,0.15,1.35
193,STOVER,YARA,Oct (2017),LR2016,2016,F2,NOT,P3,F23,NK,,0.6,0.03,0.31,0.19,97.1,3.8,3.8,0.23,637,13.3,0.04,1.85
194,STOVER,YARA,Oct (2017),LR2016,2016,F2,NOT,P4,F24,NP,,0.64,0.05,0.42,0.24,163,5.4,3.5,0.41,1709,14.1,0.06,0.78
195,STOVER,YARA,Oct (2017),LR2016,2016,F2,NOT,P5,F25,NPK,,0.71,0.04,0.27,0.22,70.6,4.2,4,0.31,697,7.7,0.03,2.56
196,STOVER,YARA,Oct (2017),LR2016,2016,F3,NOT,P1,F31,Control,,0.73,0.07,0.34,0.41,235.9,4.6,6.6,0.38,2314,52,0.06,0.36
197,STOVER,YARA,Oct (2017),LR2016,2016,F3,NOT,P2,F32,PK,,0.31,0.04,0.23,0.18,245.8,4.6,3,0.43,3815,24.2,0.03,0.72
198,STOVER,YARA,Oct (2017),LR2016,2016,F3,NOT,P3,F33,NK,,0.98,0.06,0.31,0.3,339.8,4.6,4.8,0.31,2063,53.8,0.06,1.27
199,STOVER,YARA,Oct (2017),LR2016,2016,F3,NOT,P4,F34,NP,,0.9,0.05,0.42,0.39,241.5,4.2,5.1,0.31,896,26.8,0.06,0.45
200,STOVER,YARA,Oct (2017),LR2016,2016,F3,NOT,P5,F35,NPK,,0.86,0.04,0.46,0.38,289.5,3.6,3.9,0.21,863,12.8,0.05,0.31
201,STOVER,YARA,Oct (2017),LR2016,2016,F4,NOT,P1,F41,Control,,0.93,0.11,0.37,0.28,143.1,4.6,3.1,0.56,1797,59.4,0.21,1.2
202,STOVER,YARA,Oct (2017),LR2016,2016,F4,NOT,P2,F42,PK,,0.88,0.03,0.46,0.33,153.4,3.5,2.7,0.45,758,35.5,0.04,0.64
203,STOVER,YARA,Oct (2017),LR2016,2016,F4,NOT,P3,F43,NK,,1.26,0.03,0.29,0.31,130.4,3.7,4.5,0.26,640,70.8,0.05,1.58
204,STOVER,YARA,Oct (2017),LR2016,2016,F4,NOT,P4,F44,NP,,0.87,0.11,0.36,0.28,140.5,4.4,3.3,0.61,1740,59.1,0.21,1.2
205,STOVER,YARA,Oct (2017),LR2016,2016,F4,NOT,P5,F45,NPK,,0.76,0.11,0.31,0.26,102.9,4.8,2.5,0.47,914,40.4,0.24,1.05
206,STOVER,YARA,Oct (2017),LR2016,2016,F5,NOT,P1,F51,Control,,0.77,0.06,0.25,0.17,355.3,4.3,5.8,1.07,3158,27,0.04,0.54
207,STOVER,YARA,Oct (2017),LR2016,2016,F5,NOT,P2,F52,PK,,0.78,0.08,0.27,0.13,308.6,4.2,2.8,0.89,1878,27.4,0.1,0.91
208,STOVER,YARA,Oct (2017),LR2016,2016,F5,NOT,P3,F53,NK,,1.68,0.07,0.2,0.11,1265.9,3.8,5.8,0.37,1721,136,0.08,1.37
209,STOVER,YARA,Oct (2017),LR2016,2016,F5,NOT,P4,F54,NP,,0.94,0.04,0.38,0.25,327,4.6,5.4,0.7,1674,21.2,0.04,0.8
210,STOVER,YARA,Oct (2017),LR2016,2016,F5,NOT,P5,F55,NPK,,1.25,0.05,0.4,0.29,222.4,3.6,3.6,0.43,647,26.4,0.08,0.82
211,STOVER,YARA,Oct (2017),LR2016,2016,F6,NOT,P1,F61,Control,,0.52,0.05,0.3,0.29,174.1,4.3,4.4,0.65,2400,45.2,0.03,0.31
212,STOVER,YARA,Oct (2017),LR2016,2016,F6,NOT,P2,F62,PK,,0.52,0.06,0.27,0.25,155.2,4.1,2.4,0.45,2493,34,0.1,0.87
213,STOVER,YARA,Oct (2017),LR2016,2016,F6,NOT,P3,F63,NK,,1,0.04,0.4,0.34,219,4.1,3.8,0.31,1931,58,0.04,1.1
214,STOVER,YARA,Oct (2017),LR2016,2016,F6,NOT,P4,F64,NP,,0.71,0.04,0.42,0.35,229.3,3.5,4.5,0.28,2074,29.2,0.07,0.23
215,STOVER,YARA,Oct (2017),LR2016,2016,F6,NOT,P5,F65,NPK,,0.61,0.03,0.32,0.24,100.7,3,2.7,0.24,925,15.4,0.03,0.96
216,STOVER,YARA,Oct (2017),LR2016,2016,F7,NOT,P1,F71,Control,,0.28,0.04,0.18,0.11,78.2,2.5,2.9,0.23,370,20.3,0.02,1.09
217,STOVER,YARA,Oct (2017),LR2016,2016,F7,NOT,P2,F72,PK,,0.41,0.03,0.24,0.15,104.4,2.8,4.1,0.31,1228,22.5,0.03,1.64
218,STOVER,YARA,Oct (2017),LR2016,2016,F7,NOT,P3,F73,NK,,0.4,0.03,0.16,0.12,39.4,2.1,3.4,0.22,236,51.6,0.03,2.07
219,STOVER,YARA,Oct (2017),LR2016,2016,F7,NOT,P4,F74,NP,,0.87,0.05,0.25,0.14,101,3.1,6.1,0.18,366,28.8,0.08,1.78
220,STOVER,YARA,Oct (2017),LR2016,2016,F7,NOT,P5,F75,NPK,,0.49,0.03,0.34,0.24,388.8,2.1,3,0.21,589,34.7,0.03,0.7
221,STOVER,YARA,Oct (2017),LR2016,2016,F8,NOT,P1,F81,Control,,0.43,0.09,0.31,0.16,91.8,2.5,4.3,0.47,815,22.8,0.07,0.91
222,STOVER,YARA,Oct (2017),LR2016,2016,F8,NOT,P2,F82,PK,,0.31,0.07,0.31,0.15,105.2,2.9,2.5,0.45,1073,24.1,0.09,1.6
223,STOVER,YARA,Oct (2017),LR2016,2016,F8,NOT,P3,F83,NK,,0.57,0.03,0.44,0.26,124.5,3.5,4.1,0.31,619,17.1,0.03,2.15
224,STOVER,YARA,Oct (2017),LR2016,2016,F8,NOT,P4,F84,NP,,1,0.05,0.51,0.23,184.6,3.8,3.7,0.23,602,18.7,0.11,0.6
225,STOVER,YARA,Oct (2017),LR2016,2016,F8,NOT,P5,F85,NPK,,0.72,0.03,0.28,0.15,56.4,2.3,3.8,0.21,242,18.8,0.12,1.4
226,STOVER,YARA,Oct (2017),LR2016,2016,F9,NOT,P1,F91,Control,,0.56,0.06,0.32,0.29,164.3,4.4,4,0.36,3049,37.8,0.04,0.47
227,STOVER,YARA,Oct (2017),LR2016,2016,F9,NOT,P2,F92,PK,,0.46,0.04,0.36,0.29,123.8,3.9,2.3,0.37,1744,15.6,0.03,0.74
228,STOVER,YARA,Oct (2017),LR2016,2016,F9,NOT,P3,F93,NK,,0.87,0.09,0.41,0.4,261.9,5.8,5.6,0.33,5183,41.2,0.03,1.18
229,STOVER,YARA,Oct (2017),LR2016,2016,F9,NOT,P4,F94,NP,,0.69,0.05,0.52,0.45,164,4.1,5.9,0.27,1886,16.6,0.03,0.56
230,STOVER,YARA,Oct (2017),LR2016,2016,F9,NOT,P5,F95,NPK,,0.94,0.05,0.38,0.27,172.5,4.3,3.7,0.27,3204,10.4,0.06,1.2
231,GRAIN,YARA,Jan (2019),LR2018,2018,F1,RESTORATION,P1,F1P1,Control,NPK,1.3,0.09,0.01,0.1,6.1,1.9,2.8,0.03,29.5,24.8,0.21,0.29
232,GRAIN,YARA,Jan (2019),LR2018,2018,F1,RESTORATION,P2,F1P2,PK,NPK,1.3,0.1,0.01,0.1,5.7,1.6,2,0.08,20,20.3,0.25,0.3
233,GRAIN,YARA,Jan (2019),LR2018,2018,F1,RESTORATION,P3,F1P3,NK,NPK,1.28,0.1,0.01,0.14,6.2,2.1,2.1,0.75,47.8,28.3,0.33,0.39
234,GRAIN,YARA,Jan (2019),LR2018,2018,F1,RESTORATION,P4,F1P4,NP,NPK,1.24,0.1,0.01,0.13,6.8,1.9,2.9,0.18,24.6,28.2,0.29,0.38
235,GRAIN,YARA,Jan (2019),LR2018,2018,F1,RESTORATION,P5,F1P5,NPK,NPK,1.45,0.1,0.01,0.15,9.2,2.3,2.3,0.25,33.3,32.3,0.33,0.39
236,GRAIN,YARA,Jan (2019),LR2018,2018,F4,RESTORATION,P1,F4P1,Control,NPK,1.21,0.07,0.01,0.1,6,1.6,2.3,0.22,16.7,19.9,0.23,0.28
237,GRAIN,YARA,Jan (2019),LR2018,2018,F4,RESTORATION,P2,F4P2,PK,NPK,1.16,0.08,0.01,0.1,5.1,1.4,1.7,0.46,16.4,19.4,0.21,0.24
238,GRAIN,YARA,Jan (2019),LR2018,2018,F4,RESTORATION,P3,F4P3,NK,NPK,1.26,0.08,0.01,0.09,5.3,1.9,2.2,0.47,12.5,19.2,0.21,0.25
239,GRAIN,YARA,Jan (2019),LR2018,2018,F4,RESTORATION,P4,F4P4,NP,NPK,1.32,0.06,0.01,0.11,8.5,1.6,2.2,0.3,15.5,24.3,0.25,0.32
240,GRAIN,YARA,Jan (2019),LR2018,2018,F4,RESTORATION,P5,F4P5,NPK,NPK,1.31,0.08,0.01,0.12,8,1.5,2.4,0.09,19,25.4,0.25,0.34
241,GRAIN,YARA,Jan (2019),LR2018,2018,F7,RESTORATION,P1,F7P1,Control,NPK,1.25,0.09,0.01,0.11,7.3,1.6,2.8,0.22,17.9,21.8,0.22,0.33
242,GRAIN,YARA,Jan (2019),LR2018,2018,F7,RESTORATION,P2,F7P2,PK,NPK,1.29,0.09,0.01,0.15,8.5,1.8,1.9,0.27,19.6,30.1,0.35,0.37
243,GRAIN,YARA,Jan (2019),LR2018,2018,F7,RESTORATION,P3,F7P3,NK,NPK,1.38,0.11,0.01,0.18,11.1,3.1,3.8,0.15,31.8,60.6,0.46,0.55
244,GRAIN,YARA,Jan (2019),LR2018,2018,F7,RESTORATION,P4,F7P4,NP,NPK,1.22,0.08,0.01,0.09,5.2,1.3,2,0.09,12.2,20,0.2,0.25
245,GRAIN,YARA,Jan (2019),LR2018,2018,F7,RESTORATION,P5,F7P5,NPK,NPK,1.4,0.09,0.01,0.13,10.1,1.8,3.2,0.09,19.1,30.3,0.28,0.34
246,GRAIN,YARA,Jan (2019),LR2018,2018,F18,RESTORATION,P1,F18P1,Control,NPK,1.23,0.08,0.01,0.09,5.2,1.5,1.9,0.13,17.6,19.1,0.15,0.25
247,GRAIN,YARA,Jan (2019),LR2018,2018,F18,RESTORATION,P2,F18P2,PK,NPK,1.3,0.07,0.01,0.12,7.3,1.7,2.8,0.09,19.4,25.7,0.26,0.34
248,GRAIN,YARA,Jan (2019),LR2018,2018,F18,RESTORATION,P3,F18P3,NK,NPK,1.47,0.06,0.01,0.1,6.9,1.7,2.5,0.29,19.2,23.6,0.2,0.27
249,GRAIN,YARA,Jan (2019),LR2018,2018,F18,RESTORATION,P4,F18P4,NP,NPK,1.35,0.06,0.01,0.1,6.3,1.5,2,0.22,20.5,20.3,0.21,0.29
250,GRAIN,YARA,Jan (2019),LR2018,2018,F18,RESTORATION,P5,F18P5,NPK,NPK,1.23,0.07,0.01,0.12,6.9,1.4,2.1,0.16,19.4,22.4,0.25,0.32
251,GRAIN,YARA,Jan (2019),LR2018,2018,F19,RESTORATION,P1,F19P1,Control,NPK,1.51,0.11,0.01,0.11,6,1.7,3.4,0.12,18.6,22.1,0.23,0.29
252,GRAIN,YARA,Jan (2019),LR2018,2018,F19,RESTORATION,P2,F19P2,PK,NPK,1.34,0.11,0.01,0.09,4.6,1.4,2.3,0.12,13,18.9,0.22,0.25
253,GRAIN,YARA,Jan (2019),LR2018,2018,F19,RESTORATION,P3,F19P3,NK,NPK,1.52,0.11,0.01,0.18,10.9,2.1,3.6,0.13,28.5,36.3,0.39,0.41
254,GRAIN,YARA,Jan (2019),LR2018,2018,F19,RESTORATION,P4,F19P4,NP,NPK,1.59,0.11,0.01,0.16,8.5,2.5,3.5,0.11,27.9,29.7,0.37,0.46
255,GRAIN,YARA,Jan (2019),LR2018,2018,F19,RESTORATION,P5,F19P5,NPK,NPK,1.37,0.1,0.01,0.12,8.1,1.8,3.7,0.06,35.9,25.7,0.25,0.33
256,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P1/SS1,F20P1/SS1,Control,PK,1.24,0.1,0.01,0.09,7.6,1.7,2.9,0.11,16.7,18.2,0.2,0.27
257,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P1/SS2,F20P1/SS2,Control,NK,,,,,,,,,,,,
258,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P1/SS3,F20P1/SS3,Control,NP,,,,,,,,,,,,
259,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P1/SS4,F20P1/SS4,Control,NPK,1.52,0.1,0.01,0.13,11,1.7,4.2,0.07,24,26.2,0.32,0.32
260,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P2/SS1,F20P2/SS1,PK,PK,1.13,0.1,0.01,0.09,8,1.9,3.1,0.04,13.6,18.7,0.19,0.25
261,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P2/SS2,F20P2/SS2,PK,NK,1.66,0.1,0.01,0.12,20.6,1.7,4.3,0.04,26,26.6,0.26,0.32
262,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P2/SS3,F20P2/SS3,PK,NP,1.37,0.09,0.01,0.12,8.5,1.6,3.8,0.08,22.1,27.4,0.32,0.33
263,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P2/SS4,F20P2/SS4,PK,NPK,1.49,0.11,0.01,0.13,9.2,1.6,4.6,0,27.6,28.5,0.31,0.33
264,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P3/SS1,F20P3/SS1,NK,PK,1.2,0.09,0.01,0.1,10.5,1.6,2.9,0.06,17.9,22.7,0.21,0.31
265,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P3/SS2,F20P3/SS2,NK,NK,1.58,0.12,0.01,0.12,56.6,1.8,4.7,0.11,32,30.5,0.24,0.36
266,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P3/SS3,F20P3/SS3,NK,NP,1.49,0.08,0.01,0.11,12.3,1.4,2.7,0.11,17.9,21.8,0.25,0.27
267,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P3/SS4,F20P3/SS4,NK,NPK,1.55,0.09,0.01,0.09,15.8,1.5,3.5,0.14,15.5,21.7,0.22,0.29
268,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P4/SS1,F20P4/SS1,NP,PK,1.23,0.1,0.01,0.1,10.5,1.9,2.7,0.03,16.6,20.1,0.25,0.34
269,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P4/SS2,F20P4/SS2,NP,NK,1.51,0.09,0.01,0.11,21.2,1.4,4.3,0.04,16.1,26.8,0.25,0.29
270,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P4/SS3,F20P4/SS3,NP,NP,,,,,,,,,,,,
271,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P4/SS4,F20P4/SS4,NP,NPK,1.39,0.08,0.01,0.08,10.3,1.3,2.3,0.13,12.1,18.1,0.18,0.27
272,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P5/SS1,F20P5/SS1,NPK,PK,1.26,0.09,0.01,0.1,7,1.5,2.8,0,16.6,20.4,0.22,0.31
273,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P5/SS2,F20P5/SS2,NPK,NK,1.55,0.11,0.01,0.12,9.4,1.6,3.7,0.09,20.5,25.1,0.26,0.29
274,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P5/SS3,F20P5/SS3,NPK,NP,1.78,0.11,0.01,0.13,15.7,1.7,4.4,0.15,19.9,31.5,0.38,0.37
275,GRAIN,YARA,Jan (2019),LR2018,2018,F20,SUBPLOTS,P5/SS4,F20P5/SS4,NPK,NPK,1.54,0.09,0.01,0.11,9.7,1.4,4.4,0.03,22.4,22.4,0.25,0.28
276,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P1/SS1,F21P1/SS1,Control,PK,1.62,0.12,0.02,0.16,11.4,2.1,3.9,0.13,56.4,38.5,0.32,0.42
277,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P1/SS2,F21P1/SS2,Control,NK,,,,,,,,,,,,
278,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P1/SS3,F21P1/SS3,Control,NP,1.65,0.09,0.01,0.11,6.4,1.5,2.8,0.09,21.8,21.8,0.21,0.31
279,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P1/SS4,F21P1/SS4,Control,NPK,1.63,0.08,0.01,0.12,6.4,2.2,2.8,0.25,21.9,23.4,0.26,0.29
280,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P2/SS1,F21P2/SS1,PK,PK,1.27,0.1,0.01,0.11,7.1,2.2,3.4,0.06,23.3,24,0.22,0.29
281,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P2/SS2,F21P2/SS2,PK,NK,1.57,0.09,0.01,0.1,8.6,2,3.3,0.08,21.9,24.4,0.2,0.32
282,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P2/SS3,F21P2/SS3,PK,NP,1.66,0.1,0.01,0.13,12.2,2.6,3,0.16,102.9,24.3,0.27,0.32
283,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P2/SS4,F21P2/SS4,PK,NPK,1.46,0.09,0.01,0.11,7.1,1.9,2.8,0.15,20.5,21.5,0.24,0.29
284,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P3/SS1,F21P3/SS1,NK,PK,1.36,0.1,0.01,0.09,8.8,1.6,2.7,0,19.4,23.9,0.16,0.26
285,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P3/SS2,F21P3/SS2,NK,NK,1.9,0.15,0.02,0.14,27.3,2.1,4.3,0.04,37.2,34.3,0.22,0.46
286,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P3/SS3,F21P3/SS3,NK,NP,1.66,0.1,0.01,0.12,9.6,1.8,3.9,0.09,23.5,27.9,0.25,0.3
287,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P3/SS4,F21P3/SS4,NK,NPK,1.33,0.09,0.01,0.11,9.2,1.9,3,0.04,27.6,24.1,0.19,0.32
288,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P4/SS1,F21P4/SS1,NP,PK,1.16,0.1,0.01,0.08,5.8,1.7,2.7,0.12,14.4,19.8,0.16,0.28
289,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P4/SS2,F21P4/SS2,NP,NK,1.66,0.1,0.01,0.1,10.1,1.6,3.3,0.07,21.9,29.4,0.23,0.32
290,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P4/SS3,F21P4/SS3,NP,NP,1.62,0.1,0.01,0.12,10.3,2.1,3.5,0.15,21.7,23.7,0.26,0.33
291,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P4/SS4,F21P4/SS4,NP,NPK,1.35,0.09,0.01,0.1,7,1.8,3.3,0.14,28.1,24.7,0.21,0.3
292,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P5/SS1,F21P5/SS1,NPK,PK,1.27,0.1,0.01,0.09,5.7,1.5,2.9,0,16.2,24.3,0.18,0.26
293,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P5/SS2,F21P5/SS2,NPK,NK,1.58,0.1,0.01,0.1,11.3,1.9,3.1,0.08,29.1,25,0.18,0.33
294,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P5/SS3,F21P5/SS3,NPK,NP,1.57,0.1,0.01,0.13,8.9,1.7,3.3,0.08,20.5,27.9,0.28,0.3
295,GRAIN,YARA,Jan (2019),LR2018,2018,F21,SUBPLOTS,P5/SS4,F21P5/SS4,NPK,NPK,1.45,0.09,0.01,0.1,8.9,1.8,3.2,0.11,19.7,24.6,0.21,0.27
296,GRAIN,YARA,Jan (2019),LR2018,2018,F23,SUBPLOTS,P1/SS1,F23P1/SS1,Control,PK,1.18,0.1,0.01,0.1,7.1,2.5,2.7,0.01,20,20.3,0.2,0.31
297,GRAIN,YARA,Jan (2019),LR2018,2018,F23,SUBPLOTS,P1/SS2,F23P1/SS2,Control,NK,1.36,0.1,0.01,0.08,7.8,1.8,2.5,0,23.1,21.1,0.13,0.26
298,GRAIN,YARA,Jan (2019),LR2018,2018,F23,SUBPLOTS,P1/SS3,F23P1/SS3,Control,NP,1.47,0.1,0.01,0.13,9.2,2.5,3.5,0.02,25.8,24.7,0.26,0.33
